File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF097UAJ	bed narrowPeak	peaks	ENCSR062DUU	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF992CZQ, ENCFF996JHR	704908	ENCODE Processing Pipeline	a833251b6c970238d073aca4088af9f3		https://www.encodeproject.org/files/ENCFF097UAJ/@@download/ENCFF097UAJ.bed.gz	GRCh38				archived	s3://encode-public/2016/11/18/3c381bf1-ed38-4ea4-8cac-821c4abf8195/ENCFF097UAJ.bed.gz				
ENCFF152RON	bed narrowPeak	peaks	ENCSR062DUU	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF142HNG, ENCFF967OQF	733168	ENCODE Processing Pipeline	a3cf511f8787ca03250da81e74205c7f		https://www.encodeproject.org/files/ENCFF152RON/@@download/ENCFF152RON.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/daf84612-08a7-41d3-9c4a-9e6c653ee248/ENCFF152RON.bed.gz				
ENCFF731WEV	bed narrowPeak	peaks	ENCSR062DUU	DNase-seq	UBERON:0000945	stomach	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF371NCW, ENCFF390DNP	731199	ENCODE Processing Pipeline	0d603caf54eb0dfe02cccacee00d2296		https://www.encodeproject.org/files/ENCFF731WEV/@@download/ENCFF731WEV.bed.gz	hg19				archived	s3://encode-public/2017/09/19/042e3825-77c5-4f17-bcc0-3dd6127cbda0/ENCFF731WEV.bed.gz				
ENCFF676RFS	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF342RFE, ENCFF967OQF	3338450	ENCODE Processing Pipeline	1d7813e2a09fe884ce29ff2b3c71815f		https://www.encodeproject.org/files/ENCFF676RFS/@@download/ENCFF676RFS.bed.gz	GRCh38				archived	s3://encode-public/2018/05/06/ce293f38-2521-43d4-a005-fa5c0dd23305/ENCFF676RFS.bed.gz				
ENCFF192AJH	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF741SJR	3332441	ENCODE Processing Pipeline	f946a448e5bbdcd6187847cb4723b3f8		https://www.encodeproject.org/files/ENCFF192AJH/@@download/ENCFF192AJH.bed.gz	hg19				archived	s3://encode-public/2018/05/14/ed2ff694-812d-4876-85da-bd04e6e6b0a3/ENCFF192AJH.bed.gz				
ENCFF667CVN	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF934LQK	1281489	ENCODE Processing Pipeline	45fc2d94a3127f0eed6d07832badff06		https://www.encodeproject.org/files/ENCFF667CVN/@@download/ENCFF667CVN.bed.gz	hg19				archived	s3://encode-public/2016/11/04/84be4e70-79fc-4314-a890-4553a9955dce/ENCFF667CVN.bed.gz				
ENCFF597GVZ	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF099VGK, ENCFF967OQF	1331774	ENCODE Processing Pipeline	d5014c4bccb86b7bbc4618ecf5c65d5e		https://www.encodeproject.org/files/ENCFF597GVZ/@@download/ENCFF597GVZ.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/5c06685f-fc0a-4c08-80ee-e09df040ad32/ENCFF597GVZ.bed.gz				
ENCFF722RMF	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF662TYF	1329042	ENCODE Processing Pipeline	45ed2ec73b676d6429410d37033951cb		https://www.encodeproject.org/files/ENCFF722RMF/@@download/ENCFF722RMF.bed.gz	hg19				archived	s3://encode-public/2017/09/19/3333761b-8c49-4213-b133-15fce3b09802/ENCFF722RMF.bed.gz				
ENCFF474JWV	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF099VGK, ENCFF967OQF	1330210	ENCODE Processing Pipeline	22cbbea48132f8947c1163fc220d654f		https://www.encodeproject.org/files/ENCFF474JWV/@@download/ENCFF474JWV.bed.gz	GRCh38				archived	s3://encode-public/2018/05/06/3225bd4e-bc01-4efd-bc12-a844aa016dca/ENCFF474JWV.bed.gz				
ENCFF625OKQ	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF662TYF	1328538	ENCODE Processing Pipeline	adf24d579b6e92ad5aed30991c0c77ee		https://www.encodeproject.org/files/ENCFF625OKQ/@@download/ENCFF625OKQ.bed.gz	hg19				archived	s3://encode-public/2018/05/14/a404b734-22b7-48d6-af93-03968441651a/ENCFF625OKQ.bed.gz				
ENCFF518QQC	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF945ZEV, ENCFF992CZQ	1287252	ENCODE Processing Pipeline	29a6f1d6d672ead4fa521776f56e1bee		https://www.encodeproject.org/files/ENCFF518QQC/@@download/ENCFF518QQC.bed.gz	GRCh38				archived	s3://encode-public/2016/11/04/d65bb73e-b582-4a88-98aa-030cd3ba7635/ENCFF518QQC.bed.gz				
ENCFF686BLY	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF811KRD, ENCFF967OQF	3490866	ENCODE Processing Pipeline	a89c2792729f39ac0cef4c6e0b29acb5		https://www.encodeproject.org/files/ENCFF686BLY/@@download/ENCFF686BLY.bed.gz	GRCh38				released	s3://encode-public/2018/05/22/ad66e062-899a-493c-973d-4803b401bbeb/ENCFF686BLY.bed.gz				
ENCFF382NHI	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF455EBH	3483129	ENCODE Processing Pipeline	9bebf2e30778a01f16f17ad0e1707026		https://www.encodeproject.org/files/ENCFF382NHI/@@download/ENCFF382NHI.bed.gz	hg19				released	s3://encode-public/2018/11/16/1bf71cc2-99ec-4e9c-8cfd-2b6eb5eaa965/ENCFF382NHI.bed.gz				
ENCFF243MBB	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF342RFE, ENCFF967OQF	3341366	ENCODE Processing Pipeline	dd0e3a2ca9b669d5a7712d3e3690c168		https://www.encodeproject.org/files/ENCFF243MBB/@@download/ENCFF243MBB.bed.gz	GRCh38				archived	s3://encode-public/2017/10/03/2e643a36-592c-4825-942c-cab4b9997572/ENCFF243MBB.bed.gz				
ENCFF036IFB	bed narrowPeak	peaks	ENCSR383BLX	DNase-seq	NTR:0000525	fibroblast of skin of right biceps	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF741SJR	3332470	ENCODE Processing Pipeline	b02b4e60ee3916e77a55e5d07e3247f2		https://www.encodeproject.org/files/ENCFF036IFB/@@download/ENCFF036IFB.bed.gz	hg19				archived	s3://encode-public/2017/10/06/28131194-4df9-4354-a16e-3ae571571e8b/ENCFF036IFB.bed.gz				
ENCFF001UWY	bed narrowPeak	peaks	ENCSR000EKZ	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE												2108679	Gregory Crawford, Duke	23b2c20c8eee5f44e2b8ac5b255915df		https://www.encodeproject.org/files/ENCFF001UWY/@@download/ENCFF001UWY.bed.gz	hg19				archived	s3://encode-public/2011/01/11/0c2bb11c-7dec-4408-a27b-06fd33e4b165/ENCFF001UWY.narrowPeak.gz				
ENCFF545USI	bed narrowPeak	peaks	ENCSR000EKZ	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF097TAY, ENCFF967OQF	1238858	ENCODE Processing Pipeline	29e9d2497967d34612d5208a644b59de		https://www.encodeproject.org/files/ENCFF545USI/@@download/ENCFF545USI.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/955d0cfc-acc7-49d3-8380-51500bc986cd/ENCFF545USI.bed.gz				
ENCFF306PTS	bed narrowPeak	peaks	ENCSR000EKZ	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF390DNP, ENCFF562WAK	1244624	ENCODE Processing Pipeline	7d98e0617c23ac7790db952b5ba7aac0		https://www.encodeproject.org/files/ENCFF306PTS/@@download/ENCFF306PTS.bed.gz	hg19				released	s3://encode-public/2018/05/14/e960d2db-78b3-4c79-b9e3-5fcf506599e1/ENCFF306PTS.bed.gz				
ENCFF984GBY	bed narrowPeak	peaks	ENCSR000EKZ	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF097TAY, ENCFF967OQF	1240696	ENCODE Processing Pipeline	fb0c8be9730336ea0964ae611272514a		https://www.encodeproject.org/files/ENCFF984GBY/@@download/ENCFF984GBY.bed.gz	GRCh38				archived	s3://encode-public/2017/10/04/45232765-46bf-4115-9fa4-ffdd4bd327c3/ENCFF984GBY.bed.gz				
ENCFF135BWJ	bed narrowPeak	peaks	ENCSR000EKZ	DNase-seq	EFO:0001203	MCF-7	cell line	Homo sapiens											DNA		see document	see document		False	2011-04-19	ENCODE				1							ENCFF390DNP, ENCFF562WAK	1245139	ENCODE Processing Pipeline	a2f397a5e11c4d50ffb04ebba9e4aa5e		https://www.encodeproject.org/files/ENCFF135BWJ/@@download/ENCFF135BWJ.bed.gz	hg19				archived	s3://encode-public/2017/10/05/c2e42ed1-84eb-436e-918e-e3b7ae2002e6/ENCFF135BWJ.bed.gz				
ENCFF523ZNN	bed narrowPeak	peaks	ENCSR842VTJ	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA		see document			False	2013-07-31	Roadmap				1							ENCFF032GRA, ENCFF967OQF	503038	ENCODE Processing Pipeline	c0b6da6e54173d9a0dd5638a677089fc		https://www.encodeproject.org/files/ENCFF523ZNN/@@download/ENCFF523ZNN.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/2165019e-b9e3-41b6-a3b7-8aa0cf15ff9b/ENCFF523ZNN.bed.gz				
ENCFF566SXQ	bed narrowPeak	peaks	ENCSR842VTJ	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF790RMQ	502281	ENCODE Processing Pipeline	81125cd643c92fe2f020dfec11ae7f44		https://www.encodeproject.org/files/ENCFF566SXQ/@@download/ENCFF566SXQ.bed.gz	hg19				released	s3://encode-public/2018/05/14/7c2e806e-5494-4c81-9333-cc0753e25096/ENCFF566SXQ.bed.gz				
ENCFF614QQR	bed narrowPeak	peaks	ENCSR842VTJ	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA		see document			False	2013-07-31	Roadmap				1							ENCFF437CKE, ENCFF992CZQ	491638	ENCODE Processing Pipeline	3c0731d77283aa144af5a830881fc27a		https://www.encodeproject.org/files/ENCFF614QQR/@@download/ENCFF614QQR.bed.gz	GRCh38				archived	s3://encode-public/2016/10/30/ca88453d-75b2-4677-a352-35e9f0811ac4/ENCFF614QQR.bed.gz				
ENCFF071RMN	bed narrowPeak	peaks	ENCSR842VTJ	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF579MOL	489669	ENCODE Processing Pipeline	acb1137ec704acc4ce4c3a70e7cd6134		https://www.encodeproject.org/files/ENCFF071RMN/@@download/ENCFF071RMN.bed.gz	hg19				archived	s3://encode-public/2016/10/30/453b7b80-1862-403a-8d3b-df49808df108/ENCFF071RMN.bed.gz				
ENCFF922MQL	bed narrowPeak	peaks	ENCSR842VTJ	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA		see document			False	2013-07-31	Roadmap				1							ENCFF032GRA, ENCFF967OQF	503911	ENCODE Processing Pipeline	c2ba7b286fcecb937f33d9f47cad0867		https://www.encodeproject.org/files/ENCFF922MQL/@@download/ENCFF922MQL.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/e2232b33-ad4b-488f-8dc2-da4182f7f140/ENCFF922MQL.bed.gz				
ENCFF468VWC	bed narrowPeak	peaks	ENCSR842VTJ	DNase-seq	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF790RMQ	502109	ENCODE Processing Pipeline	ec68acf995bbfaa3a96a6fc9e23d8951		https://www.encodeproject.org/files/ENCFF468VWC/@@download/ENCFF468VWC.bed.gz	hg19				archived	s3://encode-public/2017/09/19/88ccc600-dc28-4eee-a76e-e1ee479f91a4/ENCFF468VWC.bed.gz				
ENCFF011UBS	bed narrowPeak	peaks	ENCSR272RQX	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF777ADP, ENCFF967OQF	4337468	ENCODE Processing Pipeline	d1e1964d9443e6f21728a05e0d9d0674		https://www.encodeproject.org/files/ENCFF011UBS/@@download/ENCFF011UBS.bed.gz	GRCh38				released	s3://encode-public/2018/05/04/7e4989f1-4fdd-4c87-8ea6-349eb39ea52f/ENCFF011UBS.bed.gz				
ENCFF674ZTX	bed narrowPeak	peaks	ENCSR272RQX	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF032YRW, ENCFF390DNP	4325681	ENCODE Processing Pipeline	4278fca10863e4a09a2fd986a06c040a		https://www.encodeproject.org/files/ENCFF674ZTX/@@download/ENCFF674ZTX.bed.gz	hg19				released	s3://encode-public/2018/05/14/fa085ba1-e72b-4fa0-909f-965251c1e2d5/ENCFF674ZTX.bed.gz				
ENCFF726MBT	bed narrowPeak	peaks	ENCSR272RQX	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF512ZUO	3412091	ENCODE Processing Pipeline	4af4d61460ac8e7e9ddc5afa175c33e8		https://www.encodeproject.org/files/ENCFF726MBT/@@download/ENCFF726MBT.bed.gz	hg19				archived	s3://encode-public/2016/11/17/9e24e645-fca0-4473-b77f-4f31446cff8c/ENCFF726MBT.bed.gz				
ENCFF809SXS	bed narrowPeak	peaks	ENCSR272RQX	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF602BVE, ENCFF992CZQ	4102016	ENCODE Processing Pipeline	3c1f954e557c76c7365743fcc36b3c9d		https://www.encodeproject.org/files/ENCFF809SXS/@@download/ENCFF809SXS.bed.gz	GRCh38				archived	s3://encode-public/2016/11/17/211f90c3-5242-468b-b9f3-1ac394bc42d8/ENCFF809SXS.bed.gz				
ENCFF091BAW	bed narrowPeak	peaks	ENCSR272RQX	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF777ADP, ENCFF967OQF	4340153	ENCODE Processing Pipeline	1369ca117328b0edfd5f5a1efedc3902		https://www.encodeproject.org/files/ENCFF091BAW/@@download/ENCFF091BAW.bed.gz	GRCh38				archived	s3://encode-public/2017/09/18/0a78ada3-f168-43ca-b5c5-c98f441b57b7/ENCFF091BAW.bed.gz				
ENCFF867PRM	bed narrowPeak	peaks	ENCSR272RQX	DNase-seq	UBERON:0001383	muscle of leg	tissue	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF032YRW, ENCFF390DNP	4325081	ENCODE Processing Pipeline	2b0016700969e55cd7db6f0cdc01a6bc		https://www.encodeproject.org/files/ENCFF867PRM/@@download/ENCFF867PRM.bed.gz	hg19				archived	s3://encode-public/2017/09/20/f61a8dcc-1089-409f-aeda-6ac730f3b947/ENCFF867PRM.bed.gz				
ENCFF846OZD	bed narrowPeak	peaks	ENCSR468ZXN	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF954IMM, ENCFF967OQF	3333864	ENCODE Processing Pipeline	644d5caa660be82f51f9c3955d3c2605		https://www.encodeproject.org/files/ENCFF846OZD/@@download/ENCFF846OZD.bed.gz	GRCh38				released	s3://encode-public/2018/05/06/f3d868b9-749a-4881-a7d8-64e5bd339ea7/ENCFF846OZD.bed.gz				
ENCFF059VUS	bed narrowPeak	peaks	ENCSR468ZXN	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF352KRQ, ENCFF390DNP	3323991	ENCODE Processing Pipeline	35bfceaa9ffc6a6d8612069d3c290148		https://www.encodeproject.org/files/ENCFF059VUS/@@download/ENCFF059VUS.bed.gz	hg19				released	s3://encode-public/2018/05/14/20603714-18e5-434e-a9c0-7c4371b5aa06/ENCFF059VUS.bed.gz				
ENCFF318ASA	bed narrowPeak	peaks	ENCSR468ZXN	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA		see document			False	2013-07-31	Roadmap				1							ENCFF954IMM, ENCFF967OQF	3337208	ENCODE Processing Pipeline	97838ceff62664a24ccf6334e189ae81		https://www.encodeproject.org/files/ENCFF318ASA/@@download/ENCFF318ASA.bed.gz	GRCh38				archived	s3://encode-public/2017/11/25/92139a82-3e19-4382-8346-7976a48f4103/ENCFF318ASA.bed.gz				
