FANTOM5_sample_id	FANTOM5_sample_name	treatment	cell_line	cancer	sex	add	OnTarget_cell_or_tissue	comments
CNhs13056	acute myeloid leukemia (FAB M4eo) cell line:EoL-1	No	Yes	Yes	male	Yes	EoL-1	
CNhs13057	acute myeloid leukemia (FAB M4eo) cell line:EoL-3	No	Yes	Yes	male	Yes	EoL-3	
CNhs13050	acute myeloid leukemia (FAB M5) cell line:NOMO-1	No	Yes	Yes	female	Yes	NOMO-1	
CNhs13051	acute myeloid leukemia (FAB M5) cell line:P31/FUJ	No	Yes	Yes	male	Yes	P31/FUJ	
CNhs14556	acute myeloid leukemia (FAB M5) cell line:THP-1 (cytoplasmic fraction)					No		cytoplasmic fraction
CNhs10722	acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)	No	Yes	Yes	male	Yes	THP-1	wt
CNhs10723	acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)					No		revived
CNhs10724	acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)					No		thawed
CNhs13058	acute myeloid leukemia (FAB M5) cell line:U-937 DE-4	No	Yes	Yes	male	Yes	U-937 DE-4	
CNhs13059	acute myeloid leukemia (FAB M6) cell line:EEB	No	Yes	Yes	male	Yes	EEB	
CNhs13060	acute myeloid leukemia (FAB M6) cell line:F-36E	No	Yes	Yes	male	Yes	F-36E	
CNhs13505	acute myeloid leukemia (FAB M6) cell line:F-36P	No	Yes	Yes	male	Yes	F-36P	
CNhs13049	acute myeloid leukemia (FAB M7) cell line:M-MOK	No	Yes	Yes	female	Yes	M-MOK	
CNhs11888	acute myeloid leukemia (FAB M7) cell line:MKPL-1	No	Yes	Yes	male	Yes	MKPL-1	
CNhs11882	adenocarcinoma cell line:IM95m	No	Yes	Yes	male	Yes	IM95m	stomach
CNhs11051	Adipocyte - breast, donor1	No	No	No	female	Yes	adipocyte (breast)	
CNhs11969	Adipocyte - breast, donor2	No	No	No	female	Yes	adipocyte (breast)	
CNhs11054	Adipocyte - omental, donor1	No	No	No		Yes	adipocyte (omentum)	
CNhs12067	Adipocyte - omental, donor2	No	No	No		Yes	adipocyte (omentum)	
CNhs12068	Adipocyte - omental, donor3	No	No	No		Yes	adipocyte (omentum)	
CNhs12069	Adipocyte - perirenal, donor1	No	No	No		Yes	adipocyte (perirenal)	
CNhs12494	Adipocyte - subcutaneous, donor1	No	No	No	female	Yes	adipocyte (subcutaneous)	
CNhs11371	Adipocyte - subcutaneous, donor2	No	No	No	female	Yes	adipocyte (subcutaneous)	
CNhs12017	Adipocyte - subcutaneous, donor3	No	No	No	female	Yes	adipocyte (subcutaneous)	
CNhs12516	Adipocyte differentiation, day04, donor1					No		time courses
CNhs13410	Adipocyte differentiation, day04, donor2					No		time courses
CNhs13413	Adipocyte differentiation, day04, donor3					No		time courses
CNhs13417	Adipocyte differentiation, day04, donor4					No		time courses
CNhs12517	Adipocyte differentiation, day08, donor1					No		time courses
CNhs13411	Adipocyte differentiation, day08, donor2					No		time courses
CNhs13415	Adipocyte differentiation, day08, donor3					No		time courses
CNhs13418	Adipocyte differentiation, day08, donor4					No		time courses
CNhs13336	Adipocyte differentiation, day12, donor1					No		time courses
CNhs13412	Adipocyte differentiation, day12, donor2					No		time courses
CNhs13416	Adipocyte differentiation, day12, donor3					No		time courses
CNhs13419	Adipocyte differentiation, day12, donor4					No		time courses
CNhs10615	adipose tissue, adult, pool1	No	No	No		Yes	adipose tissue	
CNhs13972	adipose, donor1	No	No	No	female	Yes	adipose tissue	
CNhs13973	adipose, donor2	No	No	No	female	Yes	adipose tissue	
CNhs13974	adipose, donor3	No	No	No	female	Yes	adipose tissue	
CNhs13975	adipose, donor4	No	No	No	female	Yes	adipose tissue	
CNhs11893	adrenal cortex adenocarcinoma cell line:SW-13	No	Yes	Yes	female	Yes	SW13	
CNhs11793	adrenal gland, adult, pool1	No	No	No		Yes	adrenal gland	
CNhs10738	adult T-cell leukemia cell line:ATN-1	No	Yes	Yes	male	Yes	ATN-1	
CNhs11838	alveolar cell carcinoma cell line:SW 1573	No	Yes	Yes	female	Yes	SW1573	
CNhs11325	Alveolar Epithelial Cells, donor1	No	No	No		Yes	alveolar epithelial cell	
CNhs12084	Alveolar Epithelial Cells, donor2	No	No	No		Yes	alveolar epithelial cell	
CNhs12119	Alveolar Epithelial Cells, donor3	No	No	No		Yes	alveolar epithelial cell	
CNhs11341	Amniotic Epithelial Cells, donor1	No	No	No		Yes	amniotic epithelial cell	
CNhs12098	Amniotic Epithelial Cells, donor2	No	No	No		Yes	amniotic epithelial cell	
CNhs12125	Amniotic Epithelial Cells, donor3	No	No	No		Yes	amniotic epithelial cell	
CNhs12502	amniotic membrane cells, donor1	No	No	No		Yes	amniotic membrane cell	
CNhs12503	amniotic membrane cells, donor2	No	No	No		Yes	amniotic membrane cell	
CNhs12379	amniotic membrane cells, donor3	No	No	No		Yes	amniotic membrane cell	
CNhs13793	amygdala - adult, donor10196	No	No	No	female	Yes	amygdala	
CNhs12311	amygdala, adult, donor10252	No	No	No	female	Yes	amygdala	
CNhs14078	amygdala, newborn, donor10223	No	No	No	male	Yes	amygdala (newborn)	
CNhs10745	anaplastic carcinoma cell line:8305C	No	Yes	Yes	female	Yes	8305C	Thyroid gland undifferentiated (anaplastic) carcinoma
CNhs11881	anaplastic large cell lymphoma cell line:Ki-JK	No	Yes	Yes	male	Yes	Ki-JK	
CNhs11889	anaplastic squamous cell carcinoma cell line:RPMI 2650	No	Yes	Yes	male	Yes	RPMI-2650	
CNhs10876	Anulus Pulposus Cell, donor1	No	No	No		Yes	anulus pulposus cell	
CNhs12064	Anulus Pulposus Cell, donor2	No	No	No		Yes	anulus pulposus cell	
CNhs11760	aorta, adult, pool1	No	No	No		Yes	aorta	
CNhs13339	Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep1 (LK1)					No		time courses
CNhs13358	Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep2 (LK2)					No		time courses
CNhs13567	Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep3 (LK3)					No		time courses
CNhs13340	Aortic smooth muscle cell response to FGF2, 00hr15min, biol_rep1 (LK4)					No		time courses
CNhs13359	Aortic smooth muscle cell response to FGF2, 00hr15min, biol_rep2 (LK5)					No		time courses
CNhs13568	Aortic smooth muscle cell response to FGF2, 00hr15min, biol_rep3 (LK6)					No		time courses
CNhs13341	Aortic smooth muscle cell response to FGF2, 00hr30min, biol_rep1 (LK7)					No		time courses
CNhs13360	Aortic smooth muscle cell response to FGF2, 00hr30min, biol_rep2 (LK8)					No		time courses
CNhs13569	Aortic smooth muscle cell response to FGF2, 00hr30min, biol_rep3 (LK9)					No		time courses
CNhs13343	Aortic smooth muscle cell response to FGF2, 00hr45min, biol_rep1 (LK10)					No		time courses
CNhs13361	Aortic smooth muscle cell response to FGF2, 00hr45min, biol_rep2 (LK11)					No		time courses
CNhs13571	Aortic smooth muscle cell response to FGF2, 00hr45min, biol_rep3 (LK12)					No		time courses
CNhs12741	Aortic smooth muscle cell response to FGF2, 01hr, biol_rep1 (LK13)					No		time courses
CNhs13362	Aortic smooth muscle cell response to FGF2, 01hr, biol_rep2 (LK14)					No		time courses
CNhs13683	Aortic smooth muscle cell response to FGF2, 01hr, biol_rep3 (LK15)					No		time courses
CNhs13344	Aortic smooth muscle cell response to FGF2, 02hr, biol_rep1 (LK16)					No		time courses
CNhs13363	Aortic smooth muscle cell response to FGF2, 02hr, biol_rep2 (LK17)					No		time courses
CNhs13572	Aortic smooth muscle cell response to FGF2, 02hr, biol_rep3 (LK18)					No		time courses
CNhs13345	Aortic smooth muscle cell response to FGF2, 03hr, biol_rep1 (LK19)					No		time courses
CNhs13364	Aortic smooth muscle cell response to FGF2, 03hr, biol_rep2 (LK20)					No		time courses
CNhs13573	Aortic smooth muscle cell response to FGF2, 03hr, biol_rep3 (LK21)					No		time courses
CNhs13346	Aortic smooth muscle cell response to FGF2, 04hr, biol_rep1 (LK22)					No		time courses
CNhs13365	Aortic smooth muscle cell response to FGF2, 04hr, biol_rep2 (LK23)					No		time courses
CNhs13574	Aortic smooth muscle cell response to FGF2, 04hr, biol_rep3 (LK24)					No		time courses
CNhs13347	Aortic smooth muscle cell response to FGF2, 05hr, biol_rep1 (LK25)					No		time courses
CNhs13367	Aortic smooth muscle cell response to FGF2, 05hr, biol_rep2 (LK26)					No		time courses
CNhs13575	Aortic smooth muscle cell response to FGF2, 05hr, biol_rep3 (LK27)					No		time courses
CNhs13348	Aortic smooth muscle cell response to FGF2, 06hr, biol_rep1 (LK28)					No		time courses
CNhs13368	Aortic smooth muscle cell response to FGF2, 06hr, biol_rep2 (LK29)					No		time courses
CNhs13576	Aortic smooth muscle cell response to FGF2, 06hr, biol_rep3 (LK30)					No		time courses
CNhs13349	Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep1 (LK31)					No		time courses
CNhs13369	Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep2 (LK32)					No		time courses
CNhs13577	Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep3 (LK33)					No		time courses
CNhs13350	Aortic smooth muscle cell response to IL1b, 00hr15min, biol_rep1 (LK34)					No		time courses
CNhs13370	Aortic smooth muscle cell response to IL1b, 00hr15min, biol_rep2 (LK35)					No		time courses
CNhs13578	Aortic smooth muscle cell response to IL1b, 00hr15min, biol_rep3 (LK36)					No		time courses
CNhs13351	Aortic smooth muscle cell response to IL1b, 00hr30min, biol_rep1 (LK37)					No		time courses
CNhs13371	Aortic smooth muscle cell response to IL1b, 00hr30min, biol_rep2 (LK38)					No		time courses
CNhs13579	Aortic smooth muscle cell response to IL1b, 00hr30min, biol_rep3 (LK39)					No		time courses
CNhs13352	Aortic smooth muscle cell response to IL1b, 00hr45min, biol_rep1 (LK40)					No		time courses
CNhs13372	Aortic smooth muscle cell response to IL1b, 00hr45min, biol_rep2 (LK41)					No		time courses
CNhs13580	Aortic smooth muscle cell response to IL1b, 00hr45min, biol_rep3 (LK42)					No		time courses
CNhs13353	Aortic smooth muscle cell response to IL1b, 01hr, biol_rep1 (LK43)					No		time courses
CNhs13373	Aortic smooth muscle cell response to IL1b, 01hr, biol_rep2 (LK44)					No		time courses
CNhs13581	Aortic smooth muscle cell response to IL1b, 01hr, biol_rep3 (LK45)					No		time courses
CNhs13354	Aortic smooth muscle cell response to IL1b, 02hr, biol_rep1 (LK46)					No		time courses
CNhs13374	Aortic smooth muscle cell response to IL1b, 02hr, biol_rep2 (LK47)					No		time courses
CNhs13582	Aortic smooth muscle cell response to IL1b, 02hr, biol_rep3 (LK48)					No		time courses
CNhs13355	Aortic smooth muscle cell response to IL1b, 03hr, biol_rep1 (LK49)					No		time courses
CNhs13375	Aortic smooth muscle cell response to IL1b, 03hr, biol_rep2 (LK50)					No		time courses
CNhs13583	Aortic smooth muscle cell response to IL1b, 03hr, biol_rep3 (LK51)					No		time courses
CNhs13682	Aortic smooth muscle cell response to IL1b, 04hr, biol_rep1 (LK52)					No		time courses
CNhs13376	Aortic smooth muscle cell response to IL1b, 04hr, biol_rep2 (LK53)					No		time courses
CNhs13584	Aortic smooth muscle cell response to IL1b, 04hr, biol_rep3 (LK54)					No		time courses
CNhs13356	Aortic smooth muscle cell response to IL1b, 05hr, biol_rep1 (LK55)					No		time courses
CNhs13377	Aortic smooth muscle cell response to IL1b, 05hr, biol_rep2 (LK56)					No		time courses
CNhs13585	Aortic smooth muscle cell response to IL1b, 05hr, biol_rep3 (LK57)					No		time courses
CNhs13357	Aortic smooth muscle cell response to IL1b, 06hr, biol_rep1 (LK58)					No		time courses
CNhs13378	Aortic smooth muscle cell response to IL1b, 06hr, biol_rep2 (LK59)					No		time courses
CNhs13586	Aortic smooth muscle cell response to IL1b, 06hr, biol_rep3 (LK60)					No		time courses
CNhs12842	appendix, adult	No	No	No	male	Yes	appendix	
CNhs11725	argyrophil small cell carcinoma cell line:TC-YIK	No	Yes	Yes	female	Yes	TC-YIK	Cervical small cell carcinoma
CNhs14463	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr00min, biol_rep1					No		time courses
CNhs14464	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr00min, biol_rep2					No		time courses
CNhs14465	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr00min, biol_rep3					No		time courses
CNhs14466	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr15min, biol_rep1					No		time courses
CNhs14467	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr15min, biol_rep2					No		time courses
CNhs14468	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr15min, biol_rep3					No		time courses
CNhs14469	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr30min, biol_rep1					No		time courses
CNhs14470	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr30min, biol_rep2					No		time courses
CNhs14471	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr30min, biol_rep3					No		time courses
CNhs14472	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr45min, biol_rep1					No		time courses
CNhs14473	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr45min, biol_rep2					No		time courses
CNhs14474	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 00hr45min, biol_rep3					No		time courses
CNhs14475	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr00min, biol_rep1					No		time courses
CNhs14476	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr00min, biol_rep2					No		time courses
CNhs14477	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr00min, biol_rep3					No		time courses
CNhs14478	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr20min, biol_rep1					No		time courses
CNhs14479	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr20min, biol_rep2					No		time courses
CNhs14480	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr20min, biol_rep3					No		time courses
CNhs14482	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr40min, biol_rep1					No		time courses
CNhs14483	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr40min, biol_rep2					No		time courses
CNhs14484	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 01hr40min, biol_rep3					No		time courses
CNhs14485	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr00min, biol_rep1					No		time courses
CNhs14486	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr00min, biol_rep2					No		time courses
CNhs14487	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr00min, biol_rep3					No		time courses
CNhs14488	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr30min, biol_rep1					No		time courses
CNhs14489	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr30min, biol_rep2					No		time courses
CNhs14490	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 02hr30min, biol_rep3					No		time courses
CNhs14491	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr00min, biol_rep1					No		time courses
CNhs14492	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr00min, biol_rep2					No		time courses
CNhs14493	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr00min, biol_rep3					No		time courses
CNhs14494	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr30min, biol_rep1					No		time courses
CNhs14495	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr30min, biol_rep2					No		time courses
CNhs14496	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 03hr30min, biol_rep3					No		time courses
CNhs14497	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 04hr00min, biol_rep1					No		time courses
CNhs14498	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 04hr00min, biol_rep2					No		time courses
CNhs14499	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 04hr00min, biol_rep3					No		time courses
CNhs14500	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 05hr00min, biol_rep1					No		time courses
CNhs14501	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 05hr00min, biol_rep2					No		time courses
CNhs14518	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 05hr00min, biol_rep3					No		time courses
CNhs14519	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 06hr00min, biol_rep1					No		time courses
CNhs14520	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 06hr00min, biol_rep2					No		time courses
CNhs14522	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 06hr00min, biol_rep3					No		time courses
CNhs14523	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 07hr00min, biol_rep1					No		time courses
CNhs14524	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 07hr00min, biol_rep2					No		time courses
CNhs14525	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 07hr00min, biol_rep3					No		time courses
CNhs14526	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 08hr00min, biol_rep1					No		time courses
CNhs14527	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 08hr00min, biol_rep2					No		time courses
CNhs14528	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 08hr00min, biol_rep3					No		time courses
CNhs14530	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 12hr00min, biol_rep2					No		time courses
CNhs14531	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 12hr00min, biol_rep3					No		time courses
CNhs14532	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 16hr00min, biol_rep1					No		time courses
CNhs14533	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 16hr00min, biol_rep2					No		time courses
CNhs14534	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 16hr00min, biol_rep3					No		time courses
CNhs14535	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 24hr00min, biol_rep1					No		time courses
CNhs14536	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 24hr00min, biol_rep2					No		time courses
CNhs14537	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 24hr00min, biol_rep3					No		time courses
CNhs14538	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 42hr00min, biol_rep1					No		time courses
CNhs14539	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 42hr00min, biol_rep2					No		time courses
CNhs14540	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 42hr00min, biol_rep3					No		time courses
CNhs14541	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 60hr00min, biol_rep1					No		time courses
CNhs14542	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 60hr00min, biol_rep2					No		time courses
CNhs14543	ARPE-19 EMT induced with TGF-beta and TNF-alpha, 60hr00min, biol_rep3					No		time courses
CNhs12843	artery, adult	No	No	No	male	Yes	artery	
CNhs11321	Astrocyte - cerebellum, donor1	No	No	No		Yes	astrocyte (cerebellum)	
CNhs12081	Astrocyte - cerebellum, donor2	No	No	No		Yes	astrocyte (cerebellum)	
CNhs12117	Astrocyte - cerebellum, donor3	No	No	No		Yes	astrocyte (cerebellum)	
CNhs10864	Astrocyte - cerebral cortex, donor1	No	No	No		Yes	astrocyte (cerebral cortex; fetal)	
CNhs11960	Astrocyte - cerebral cortex, donor2	No	No	No		Yes	astrocyte (cerebral cortex; fetal)	
CNhs12005	Astrocyte - cerebral cortex, donor3	No	No	No		Yes	astrocyte (cerebral cortex; fetal)	
CNhs10742	astrocytoma cell line:TM-31	No	Yes	Yes	female	Yes	TM-31	Astrocytoma
CNhs10744	b cell line:RPMI1788	No	Yes	No	male	Yes	RPMI-1788	
CNhs12331	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1	No	Yes	No	female	Yes	GM12878	
CNhs12332	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2	No	Yes	No	female	Yes	GM12878	
CNhs12333	B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3	No	Yes	No	female	Yes	GM12878	
CNhs11932	basal cell carcinoma cell line:TE 354.T	No	Yes	Yes	female	Yes	TE 354.T	
CNhs12546	Basophils, donor1	No	No	No		Yes	basophil	
CNhs12563	Basophils, donor2	No	No	No		Yes	basophil	
CNhs12575	Basophils, donor3	No	No	No		Yes	basophil	
CNhs10750	bile duct carcinoma cell line:HuCCT1	No	Yes	Yes	male	Yes	HuCC-T1	Intrahepatic cholangiocarcinoma
CNhs11265	bile duct carcinoma cell line:TFK-1	No	Yes	Yes	male	Yes	TFK-1	Cholangiocarcinoma
CNhs11845	biphenotypic B myelomonocytic leukemia cell line:MV-4-11	No	Yes	Yes	male	Yes	MV4-11	Childhood acute monocytic leukemia
CNhs10616	bladder, adult, pool1	No	No	No		Yes	bladder	
CNhs11761	blood, adult, pool1	No	No	No		Yes	blood	
CNhs11931	bone marrow stromal cell line:StromaNKtert	No	Yes	No	male	Yes	StromaNKtert	
CNhs12845	bone marrow, adult	No	No	No	male	Yes	bone marrow	
CNhs11796	brain, adult, donor1	No	No	No	male	Yes	brain	
CNhs10617	brain, adult, pool1	No	No	No		Yes	brain	
CNhs11797	brain, fetal, pool1	No	No	No		Yes	brain (fetal)	
CNhs11943	breast carcinoma cell line:MCF7	No	Yes	Yes	female	Yes	MCF-7	
CNhs10736	breast carcinoma cell line:MDA-MB-453	No	Yes	Yes	female	Yes	MDA-MB-453	Breast adenocarcinoma
CNhs11792	breast, adult, donor1	No	No	No	female	Yes	breast	
CNhs11327	Bronchial Epithelial Cell, donor1	No	No	No		Yes	bronchial epithelial cell	
CNhs12085	Bronchial Epithelial Cell, donor2	No	No	No		Yes	bronchial epithelial cell	
CNhs12623	Bronchial Epithelial Cell, donor3	No	No	No		Yes	bronchial epithelial cell	
CNhs12054	Bronchial Epithelial Cell, donor4	No	No	No	male	Yes	bronchial epithelial cell	
CNhs12058	Bronchial Epithelial Cell, donor5	No	No	No	female	Yes	bronchial epithelial cell	
CNhs12062	Bronchial Epithelial Cell, donor6	No	No	No	male	Yes	bronchial epithelial cell	
CNhs12642	Bronchial Epithelial Cell, donor7	No	No	No		Yes	bronchial epithelial cell	
CNhs11862	bronchial squamous cell carcinoma cell line:KNS-62	No	Yes	Yes	male	Yes	KNS-62	Squamous cell lung carcinoma
CNhs11840	bronchioalveolar carcinoma cell line:NCI-H358	No	Yes	Yes	male	Yes	NCI-H358	Minimally invasive lung adenocarcinoma
CNhs14138	bronchioalveolar carcinoma cell line:NCI-H650	No	Yes	Yes	male	Yes	NCI-H650	Lung adenocarcinoma
CNhs11841	bronchogenic carcinoma cell line:ChaGo-K-1	No	Yes	Yes	male	Yes	ChaGo-K-1	Bronchogenic carcinoma
CNhs10739	Burkitt's lymphoma cell line:DAUDI	No	Yes	Yes	male	Yes	Daudi	Epstein-Barr virus-related Burkitt lymphoma
CNhs11268	Burkitt's lymphoma cell line:RAJI	No	Yes	Yes	male	Yes	Raji	Epstein-Barr virus-related Burkitt lymphoma
CNhs11834	carcinoid cell line:NCI-H1770	No	Yes	Yes	male	Yes	NCI-H1770	Non-small cell lung carcinoma
CNhs14244	carcinoid cell line:NCI-H727	No	Yes	Yes	female	Yes	NCI-H727	Lung carcinoid tumor
CNhs11846	carcinoid cell line:SK-PN-DW	No	Yes	Yes	male	Yes	SK-PN-DW	Primitive neuroectodermal tumor
CNhs11747	carcinosarcoma cell line:JHUCS-1	No	Yes	Yes	female	Yes	JHUCS-1	Uterine carcinosarcoma
CNhs12341	Cardiac Myocyte, donor1	No	No	No		Yes	cardiomyocyte	
CNhs12350	Cardiac Myocyte, donor2	No	No	No		Yes	cardiomyocyte	
CNhs12571	Cardiac Myocyte, donor3	No	No	No		Yes	cardiomyocyte	
CNhs13802	caudate nucleus - adult, donor10196	No	No	No	female	Yes	caudate nucleus	
CNhs12321	caudate nucleus, adult, donor10252	No	No	No	female	Yes	caudate nucleus	
CNhs14232	caudate nucleus, adult, donor10258	No	No	No	female	Yes	caudate nucleus	
CNhs14071	caudate nucleus, newborn, donor10223	No	No	No	male	Yes	caudate nucleus (newborn)	
CNhs12552	CD133+ stem cells - adult bone marrow derived, pool1	No	No	No		Yes	stem cell (CD133-positive; derived from bone marrow)	
CNhs12545	CD133+ stem cells - cord blood derived, pool1	No	No	No		Yes	stem cell (CD133-positive; derived from umbilical cord blood)	
CNhs13229	CD14-CD16+ Monocytes, donor1	No	No	No	male	Yes	monocyte (CD14-negative CD16-positive)	
CNhs13207	CD14-CD16+ Monocytes, donor2	No	No	No	male	Yes	monocyte (CD14-negative CD16-positive)	
CNhs13548	CD14-CD16+ Monocytes, donor3	No	No	No	male	Yes	monocyte (CD14-negative CD16-positive)	
CNhs10858	CD14+ monocyte derived endothelial progenitor cells, donor1	No	No	No	male	Yes	endothelial progenitor cell (derived from CD14-positive monocyte)	
CNhs11897	CD14+ monocyte derived endothelial progenitor cells, donor2	No	No	No	female	Yes	endothelial progenitor cell (derived from CD14-positive monocyte)	
