uid,name,X_chroms,Y_chroms,treatment,cell_line,cancer
768,GM04503,2,0,0,1,0
563,GM04504,2,0,0,1,0
619,GM06990,2,0,0,1,0
653,GM10248,1,1,0,1,0
701,GM10266,1,1,0,1,0
661,GM12864,1,1,0,1,0
545,GM12865,2,0,0,1,0
610,GM12878,2,0,0,1,0
552,GM12891,1,1,0,1,0
571,GM12892,2,0,0,1,0
781,GM18507,1,1,0,1,0
726,GM19238,2,0,0,1,0
574,GM19239,1,1,0,1,0
791,GM19240,2,0,0,1,0
590,GM23248,1,1,0,1,0
718,GM23338 originated from GM23248,1,1,0,1,0
729,H1,1,1,0,1,0
586,H54,2,0,0,1,1
561,H7,2,0,0,1,0
609,H9,2,0,0,1,0
618,HAP-1,1,1,0,1,1
622,HCEC 1CT,1,1,0,1,0
558,HCT116,1,1,0,1,1
279,heart embryo (59 days) and female embryo (76 days),NA,NA,0,0,0
587,HEK293T,2,0,0,1,0
666,HeLa-S3,2,0,0,1,1
669,hepatocyte originated from H9,2,0,0,0,0
628,HepG2,1,1,0,1,1
739,HFF-Myc originated from foreskin fibroblast,1,1,0,1,0
567,HFFc6,1,1,0,1,0
714,HK-2,1,1,0,1,1
564,HL-60,2,0,0,1,1
688,HPDE6-E6E7,2,0,0,1,0
760,HS-27A,1,1,0,1,0
765,HS-5,1,1,0,1,0
716,HT-29,2,0,0,1,1
634,HT1080,1,1,0,1,1
799,HuH-7,1,1,0,1,1
621,HuH-7.5,1,1,0,1,1
671,IMR-90,2,0,0,1,0
796,iPS DF 19.11,1,1,0,1,0
556,iPS DF 19.7,1,1,0,1,0
769,iPS DF 4.7,1,1,0,1,0
733,iPS DF 6.9,1,1,0,1,0
772,iPS-NIHi11 originated from AG20443,1,1,0,1,0
648,iPS-NIHi7 originated from AG08395,2,0,0,1,0
700,Jurkat clone E61,1,1,0,1,1
704,K562,2,0,0,1,1
580,Karpas-422,2,0,0,1,1
577,KBM-7,1,1,0,1,1
679,keratinocyte female,2,0,0,0,0
260,kidney embryo (59 days) and female embryo (59 days),NA,NA,0,0,0
585,LHCN-M2,1,1,0,1,0
683,LNCaP clone FGC,1,1,0,1,1
710,LoVo,1,1,0,1,1
297,lung embryo (80 days) and male embryo (76 days),NA,NA,0,0,0
595,lung microvascular endothelial cell female,2,0,0,0,0
681,M059J,1,1,0,1,1
620,mammary epithelial cell female,2,0,0,0,0
713,MCF-7,2,0,0,1,1
755,mesendoderm originated from H1,1,1,0,0,0
605,MG63,1,1,0,1,1
748,MM.1S,2,0,0,1,1
604,NAMALWA,2,0,0,1,1
569,NB4,2,0,0,1,1
664,NCI-H226,1,1,0,1,1
568,NCI-H460,1,1,0,1,1
789,neural progenitor cell originated from H9,2,0,0,0,0
756,neural stem progenitor cell originated from H1,1,1,0,0,0
546,NT2/D1,1,1,0,1,1
582,OCI-LY7,1,1,0,1,1
728,Panc1,1,1,0,1,1
673,PC-3,1,1,0,1,1
632,PC-9,1,1,0,1,1
575,pulmonary artery endothelial cell female,2,0,0,0,0
675,RCC 7860,1,1,0,1,1
430,retina embryo (125 days) and male embryo (103 days),NA,NA,0,0,0
611,RPMI7951,2,0,0,1,1
656,RPMI8226,1,1,0,1,1
779,RWPE1,1,1,0,1,0
665,SJCRH30,1,1,0,1,1
627,SJSA1,1,1,0,1,1
690,SK-MEL-5,2,0,0,1,1
689,SK-N-DZ,2,0,0,1,1
603,SK-N-MC,2,0,0,1,1
721,smooth muscle cell of the brain vasculature female,2,0,0,0,0
686,stromal cell of bone marrow male,1,1,0,0,0
651,SW480,1,1,0,1,1
547,T47D,2,0,0,1,1
766,trophoblast cell originated from H1,1,1,0,0,0
257,umbilical cord embryo (59 days) and male embryo (76 days),NA,NA,0,0,0
735,WERI-Rb-1,2,0,0,1,1
100,sigmoid colon female adult (51 years),2,0,0,0,0
402,small intestine female embryo (91 days),2,0,0,0,0
349,small intestine male embryo (91 days),1,1,0,0,0
6,spleen female adult (51 years),2,0,0,0,0
330,stomach embryo (101 days),NA,NA,0,0,0
65,stomach female adult (51 years),2,0,0,0,0
274,stomach female embryo (121 days),2,0,0,0,0
329,stomach male embryo (91 days),1,1,0,0,0
200,subcutaneous abdominal adipose tissue nuclear fraction female adult (41 years),2,0,0,0,0
207,subcutaneous abdominal adipose tissue nuclear fraction female adult (81 years),2,0,0,0,0
116,substantia nigra male adult (81 years),1,1,0,0,0
53,suprapubic skin female adult (51 years),2,0,0,0,0
640,T-cell male adult (21 years),1,1,0,0,0
125,temporal lobe male adult (81 years),1,1,0,0,0
59,thyroid gland female adult (51 years),2,0,0,0,0
540,tibial artery female adult (51 years),2,0,0,0,0
26,tibial nerve female adult (51 years),2,0,0,0,0
60,transverse colon female adult (51 years),2,0,0,0,0
722,trophoblast cell embryo (21 weeks),NA,NA,0,0,0
78,upper lobe of left lung female adult (51 years),2,0,0,0,0
14,uterus female adult (51 years),2,0,0,0,0
44,vagina female adult (51 years),2,0,0,0,0
573,BE2C,1,1,0,1,1
633,BJ,1,1,0,1,0
